Predicted,Actual,Diff
68121.50781290318,21300,-46821.507812903175
223512.26467362468,99399,-124113.26467362468
13305.28112291513,47000,33694.71887708487
141119.77366818773,67000,-74119.77366818773
16023.816829044388,5300,-10723.816829044388
44895.99818422014,11108,-33787.99818422014
58636.30938340881,31771,-26865.309383408807
146611.12104644746,262045,115433.87895355254
113071.09824084258,64200,-48871.09824084258
113516.22755015096,39000,-74516.22755015096
44115.96725469352,36800,-7315.967254693518
33472.10474774666,-3995,-37467.10474774666
61122.18134876869,18576,-42546.18134876869
99917.46339897459,163878,63960.53660102541
45496.4717291463,73810,28313.528270853698
81489.1078544002,3850,-77639.1078544002
72950.89671779277,61150,-11800.89671779277
166219.94000900534,168399,2179.0599909946613
229437.0332406095,250500,21062.96675939049
106008.08029995397,75599,-30409.080299953974
120189.39620441051,13600,-106589.39620441051
129468.28214385183,191599,62130.71785614817
63783.955485151426,134263,70479.04451484857
-12613.820648606103,-3200,9413.820648606103
235774.57498732928,274799,39024.42501267072
48576.98080245249,165761,117184.01919754752
91997.10992454737,3650,-88347.10992454737
115987.5800212616,30350,-85637.5800212616
56065.9092639789,6318,-49747.9092639789
226398.5452342125,87800,-138598.5452342125
127907.44242558302,135502,7594.557574416976
53416.57342878783,15350,-38066.57342878783
220751.25572471914,110532,-110219.25572471914
73218.53636859286,9429,-63789.53636859286
143707.11581751928,51037,-92670.11581751928
141194.82433335145,139825,-1369.8243333514547
54014.24492984066,56100,2085.7550701593427
53881.92179628357,44800,-9081.921796283568
145230.61657199467,344849,199618.38342800533
-13296.34694746572,400,13696.34694746572
131121.06656715754,104775,-26346.06656715754
4061.13096854015,-680,-4741.13096854015
-1682.1502858590648,35862,37544.15028585907
-33648.85784404945,15,33663.85784404945
227088.79747143888,289500,62411.202528561116
81694.94849486112,96725,15030.05150513888
136078.1038394245,81150,-54928.1038394245
-9285.54206760838,7993,17278.54206760838
75936.20387238197,64462,-11474.203872381971
189021.2675974476,261400,72378.73240255241
279424.8829869764,274199,-5225.882986976416
7344.992722540848,4549,-2795.9927225408483
69409.78564088001,129050,59640.214359119986
68121.50781290318,193346,125224.49218709682
31694.62585971374,-1245,-32939.625859713735
83612.5608991013,152200,68587.4391008987
79715.73355888271,12620,-67095.73355888271
67905.94280865164,13282,-54623.94280865164
-30814.5259575515,-541,30273.5259575515
145498.8136960248,307309,161810.1863039752
50453.50900141326,-2460,-52913.50900141326
-7714.026289864019,10279,17993.02628986402
-16092.777617272719,5124,21216.777617272717
203213.99159702554,426000,222786.00840297446
42787.73669856375,20600,-22187.73669856375
169761.0510859181,81387,-88374.0510859181
18105.961212542443,32015,13909.038787457557
35003.54012049455,35375,371.45987950544804
220751.25572471914,466990,246238.74427528086
-10723.541966212242,-1300,9423.541966212242
113435.6595928315,147681,34245.34040716851
99902.14116269347,14181,-85721.14116269347
125146.43347667748,125500,353.5665233225154
253788.0013709673,598200,344411.9986290327
143225.95210076837,236000,92774.04789923163
136316.27335795568,107200,-29116.27335795568
20004.503636051795,32699,12694.496363948205
25934.536555859453,-9018,-34952.53655585945
-18502.35112035169,1997,20499.35112035169
-32487.877211471623,18500,50987.87721147163
27810.02231721885,13348,-14462.022317218849
46891.4025153574,147385,100493.59748464261
22943.8061748535,-19701,-42644.8061748535
